STATION;DATE;AWND;TAVG;TMAX;TMIN;WT01;WT02;WT03;WT04;WT05;WT06;WT07;WT08;WT09;WT10;WT11;WT13;WT14;WT15;WT16;WT17;WT18;WT19;WT21;WT22
USC00379423;1.01.2005;;;47;28;;;;;;;;;;;;;;;;;;;;
USC00379423;2.01.2005;;;52;24;;;;;;;;;;;;;;;;;;;;
USC00379423;3.01.2005;;;48;27;;;;;;;;;;;;;;;;;;;;
USC00379423;4.01.2005;;;54;40;;;;;;;;;;;;;;;;;;;;
USC00379423;5.01.2005;;;44;31;;;;;;;;;;;;;;;;;;;;
USC00379423;6.01.2005;;;33;23;;;;;;;;;;;;;;;;;;;;
USC00379423;7.01.2005;;;34;25;;;;;;;;;;;;;;;;;;;;
USC00379423;8.01.2005;;;36;23;;;;;;;;;;;;;;;;;;;;
USC00379423;9.01.2005;;;32;21;;;;;;;;;;;;;;;;;;;;
USC00379423;10.01.2005;;;32;24;;;;;;;;;;;;;;;;;;;;
USC00379423;11.01.2005;;;41;25;;;;;;;;;;;;;;;;;;;;
USC00379423;12.01.2005;;;41;25;;;;;;;;;;;;;;;;;;;;
USC00379423;13.01.2005;;;36;32;;;;;;;;;;;;;;;;;;;;
USC00379423;14.01.2005;;;61;33;;;;;;;;;;;;;;;;;;;;
USC00379423;15.01.2005;;;61;24;;;;;;;;;;;;;;;;;;;;
USC00379423;16.01.2005;;;31;20;;;;;;;;;;;;;;;;;;;;
USC00379423;17.01.2005;;;28;19;;;;;;;;;;;;;;;;;;;;
USC00379423;18.01.2005;;;28;5;;;;;;;;;;;;;;;;;;;;
USC00379423;19.01.2005;;;14;0;;;;;;;;;;;;;;;;;;;;
USC00379423;20.01.2005;;;24;4;;;;;;;;;;;;;;;;;;;;
USC00379423;21.01.2005;;;29;2;;;;;;;;;;;;;;;;;;;;
USC00379423;22.01.2005;;;13;-5;;;;;;;;;;;;;;;;;;;;
USC00379423;23.01.2005;;;26;-4;;;;;;;;;;;;;;;;;;;;
USC00379423;24.01.2005;;;16;1;;;;;;;;;;;;;;;;;;;;
USC00379423;25.01.2005;;;23;5;;;;;;;;;;;;;;;;;;;;
USC00379423;26.01.2005;;;27;15;;;;;;;;;;;;;;;;;;;;
USC00379423;27.01.2005;;;26;9;;;;;;;;;;;;;;;;;;;;
USC00379423;28.01.2005;;;26;-8;;;;;;;;;;;;;;;;;;;;
USC00379423;29.01.2005;;;23;-3;;;;;;;;;;;;;;;;;;;;
USC00379423;30.01.2005;;;38;;;;;;;;;;;;;;;;;;;;;
USC00379423;31.01.2005;;;40;15;;;;;;;;;;;;;;;;;;;;
USC00379423;1.02.2005;;;32;2;;;;;;;;;;;;;;;;;;;;
USC00379423;2.02.2005;;;41;4;;;;;;;;;;;;;;;;;;;;
USC00379423;3.02.2005;;;40;10;;;;;;;;;;;;;;;;;;;;
USC00379423;4.02.2005;;;38;24;;;;;;;;;;;;;;;;;;;;
USC00379423;5.02.2005;;;35;23;;;;;;;;;;;;;;;;;;;;
USC00379423;6.02.2005;;;53;22;;;;;;;;;;;;;;;;;;;;
USC00379423;7.02.2005;;;48;20;;;;;;;;;;;;;;;;;;;;
USC00379423;8.02.2005;;;55;24;;;;;;;;;;;;;;;;;;;;
USC00379423;9.02.2005;;;48;29;;;;;;;;;;;;;;;;;;;;
USC00379423;10.02.2005;;;53;35;;;;;;;;;;;;;;;;;;;;
USC00379423;11.02.2005;;;39;26;;;;;;;;;;;;;;;;;;;;
USC00379423;12.02.2005;;;36;22;;;;;;;;;;;;;;;;;;;;
USC00379423;13.02.2005;;;38;21;;;;;;;;;;;;;;;;;;;;
USC00379423;14.02.2005;;;40;15;;;;;;;;;;;;;;;;;;;;
USC00379423;15.02.2005;;;45;22;;;;;;;;;;;;;;;;;;;;
USC00379423;16.02.2005;;;51;29;;;;;;;;;;;;;;;;;;;;
USC00379423;17.02.2005;;;55;27;;;;;;;;;;;;;;;;;;;;
USC00379423;18.02.2005;;;40;24;;;;;;;;;;;;;;;;;;;;
USC00379423;19.02.2005;;;33;11;;;;;;;;;;;;;;;;;;;;
USC00379423;20.02.2005;;;29;13;;;;;;;;;;;;;;;;;;;;
USC00379423;21.02.2005;;;33;22;;;;;;;;;;;;;;;;;;;;
USC00379423;22.02.2005;;;31;23;;;;;;;;;;;;;;;;;;;;
USC00379423;23.02.2005;;;36;22;;;;;;;;;;;;;;;;;;;;
USC00379423;24.02.2005;;;38;15;;;;;;;;;;;;;;;;;;;;
USC00379423;25.02.2005;;;29;18;;;;;;;;;;;;;;;;;;;;
USC00379423;26.02.2005;;;31;6;;;;;;;;;;;;;;;;;;;;
USC00379423;27.02.2005;;;36;6;;;;;;;;;;;;;;;;;;;;
USC00379423;28.02.2005;;;35;14;;;;;;;;;;;;;;;;;;;;
USC00379423;1.03.2005;;;35;22;;;;;;;;;;;;;;;;;;;;
USC00379423;2.03.2005;;;32;23;;;;;;;;;;;;;;;;;;;;
